Name,,Type,,CP Change,,Active,,Chained,,Description,,Notes
Universal Drawbacks,,6,,105000,,True,,False,,Taking Universal Drawbacks,,
Body Mod - Greater Essence Infusion - Body Mod Effect,,6,,-1000,,True,,False,,Send 100 CP to the body mod,,
Origin,,0,,00,,False,,False,,For Drop-In, “Main Character”, and Student your age is 16 years-old. Ages for Aces are 18 years old and Instructors are 25+1d20 years old. While only .5% of the 20,000 currently active Valkyrie pilots are male your gender really doesn’t matter. Pick either one for free though as one of the rare males you will get some attention.%%%%All origins are either enrolled at or teach at one of the three UN Valkyrie training academies. Roll 1d3 for which Academy you will be attending or pay 50CP to choose.%%1- Perth – Where the story takes place. Easier access to Anna.%%2- Beijing%%3- Santiago - Where an inter-academy tournament will be held this year.%%%%%%You and your companions are immune to developing Valkyrie Detachment Syndrome which is observed to be developed by adolescent Aces and hypothesized to be a form of coping mechanism for trauma.,,
Drop In,,0,,00,,False,,False,,You awake finding yourself on a UN military transport jet that has just landed at the Valkyrie training academy you are enrolled at as a first year. You possess no memories of this world. It’s like you just popped into existence yet no one finds your lack of history and official records weird.,,
Main Character,,0,,00,,False,,False,,If this were an anime you would be the main character. You were recently tested and found to have a high compatibility score with Valkyrie Cores. While slightly lacking in actual experience and knowledge with Valkyrie Frames you have the potential to become one of the very best Valkyrie pilots this world has ever known.,,
Student,,0,,00,,True,,False,,Unlike the previous origin you were tested and found to be compatible with Valkyrie cores at a younger age. You have spent the past few years educating and training yourself in preparation of your enrollment at one of the UN’s Valkyrie training academies.,,
Ace,,0,,-1000,,False,,False,,You’re actually a third-year student whose flight was called to support the Alaskan Offensive. As a result, you have actual experience fighting real Antagonist forces as a Valkyrie pilot. The ability you showed in the fires of battle have earned you an Ace designation.,,
Instructor,,0,,-2000,,False,,False,,Instead of being a cadet like the origins you are a fully qualified Valkyrie pilot assigned to teach at one of the three Valkyrie training academies. This is considered a form of vacation to avoid burn out from your regular duties as a member of the Three Hundred, though you may be called to assist one of the fronts if the situation calls for it. I hope you know what you are doing regarding teaching otherwise these cadets are going to die when they reach the battlefield.,,
Valkyrie Skill,,1,,00,,True,,True,,You have the training and knowledge in the operation of a Valkyrie frame. This includes basic skills such as synching and desynching with a Core, storing items and later expressing them, expressing your Valkyrie Frame and individual components, to more advance skills such as aiming and firing weapons, flying, shaping your Impeller Field, and other essential skills. Your level of skill and knowledge depends on your origin.%%%%First years only have relatively basic level knowledge and skills, while Aces have more advance levels reflective of you being a third-year and having actual battlefield experience rather than simulations. Instructors have expert and mastery level knowledge and skill which comes from being a veteran Valkyrie pilot and is required to properly teach cadets.,,
Drop In - Focus,,1,,-1000,,True,,True,,During combat situations you become hyper focused giving your reaction and processing time a boost. No longer will you miss seeing a move in a fight.,,
